"name","OBJECTID","year","rate","CountySpendingPerStudent","County","mean_sci"
"adair",72,2022,2.019553073,23281.5,1,19.94
"adams",81,2022,2.302325581,16505,2,19.44
"allamakee",5,2022,1.903165736,18915.3636363636,3,20.65
"appanoose",98,2022,2.021348315,15417,4,19.3
"audubon",59,2022,2.502463054,21933,5,21.72
"benton",46,2022,2.923339012,15958.6666666667,6,19.8857142857143
"black_hawk",35,2022,1.870219436,15633.8,7,20.1478260869565
"boone",52,2022,3.017167382,22710.3125,8,21.14
"bremer",28,2022,4.138167939,18458,9,21.605
"buchanan",34,2022,3.283599089,14637.1818181818,10,21.75
"buena_vista",24,2022,1.780662152,17598.1904761905,11,20.99
"butler",30,2022,3.489224138,18062.3333333333,12,21.0666666666667
"calhoun",39,2022,2.581666667,15967.3333333333,13,21.72
"carroll",50,2022,2.62283737,16270.8125,14,20.0666666666667
"cass",70,2022,2.4306894,14375.3333333333,15,19.94
"cedar",56,2022,3.109165808,14663.2,16,20.5958333333333
"cerro_gordo",17,2022,2.105590062,17750.3333333333,17,19.7142857142857
"cherokee",23,2022,2.58490566,18626.5,18,21.11
"chickasaw",18,2022,3.09623431,16847.5,19,21.05
"clarke",86,2022,1.819460727,13164.5,20,20.41
"clay",14,2022,2.187992126,15049,21,20.54
"clayton",20,2022,2.494901961,19774.8333333333,22,21.33
"clinton",55,2022,2.247997437,15507.8461538462,23,22.092
"crawford",49,2022,1.629447853,15898.75,24,19.645
"dallas",62,2022,4.772309009,17292.8333333333,25,20.97
"davis",95,2022,2.244897959,25595,26,NA
"decatur",96,2022,1.54375,15913,27,21.08
"delaware",32,2022,2.865102639,16197,28,20.73
"des_moines",89,2022,1.928424658,14291,29,20.12
"dickinson",3,2022,3.098737084,19256.5454545455,30,21.88
"dubuque",31,2022,2.700246204,16583.5,31,19.01
"emmet",4,2022,1.902759527,18060,32,20.1
"fayette",21,2022,2.031270358,16094.75,33,21.15
"floyd",19,2022,1.833665339,15887.5,34,19.79
"franklin",29,2022,1.77377892,15102,35,19.6111111111111
"fremont",90,2022,2.114052953,22548.3333333333,36,21.1933333333333
"greene",51,2022,2.125596184,15547.1666666667,37,19.96
"grundy",42,2022,3.548342541,19338,38,20.3684210526316
"guthrie",60,2022,2.524940618,15005,39,21.2266666666667
"hamilton",40,2022,2.262814539,13789,40,NA
"hancock",16,2022,3.264108352,19625.1666666667,41,20.625
"hardin",41,2022,2.528776978,14267.2857142857,42,21.7
"harrison",57,2022,2.54757085,17715.8,43,21.05
"henry",82,2022,2.122654155,16228.5,44,20.65
"howard",8,2022,2.111975117,18229.5,45,19.7
"humboldt",26,2022,2.423493045,20601,46,20.8142857142857
"ida",37,2022,2.365051903,15733,47,20.16
"iowa",63,2022,3.069767442,22063,48,21.2533333333333
"jackson",43,2022,2.398086124,19169.0833333333,49,19.16
"jasper",66,2022,2.358629662,16154.6,50,19.6375
"jefferson",83,2022,2.264026403,14418,51,22.09
"johnson",61,2022,2.805112293,14858,52,20.245
"jones",44,2022,2.463324048,22709.75,53,20.7
"keokuk",73,2022,2.557739558,15387.3333333333,54,20.9285714285714
"kossuth",6,2022,2.542296073,16753.5714285714,55,20.36
"lee",99,2022,1.904351396,14493,56,20.7666666666667
"linn",45,2022,2.557948345,17537.8936170213,57,20.4142857142857
"louisa",78,2022,2.168103448,17730.0625,58,19.4384615384615
"lucas",87,2022,1.857798165,21854,59,20.84
"lyon",1,2022,3.262243286,16742.9090909091,60,22.42
"madison",75,2022,3.512280702,22071.6666666667,61,22.6357142857143
"mahaska",76,2022,2.306654676,15960,62,20.48
"marion",77,2022,3.108250439,17759,63,20.34
"marshall",54,2022,1.669250646,14924.3333333333,64,20.5857142857143
"mills",79,2022,2.569868996,19105.5,65,19.0375
"mitchell",10,2022,3.396825397,15951.5,66,19.06
"monona",48,2022,2.01174743,17143,67,19.7272727272727
"monroe",88,2022,2.434782609,33410,68,NA
"montgomery",80,2022,1.85483871,16075.5454545455,69,21.7
"muscatine",68,2022,2.005588327,14727.6666666667,70,20.42
"obrien",13,2022,2.322614108,15621.2727272727,71,20.35
"osceola",2,2022,1.979651163,14164,72,21.175
"page",91,2022,2.365656566,15130.9375,73,20.7615384615385
"palo_alto",15,2022,2.12995896,27986.75,74,20.3375
"plymouth",22,2022,3.04721635,18568,75,21.1764705882353
"pocahontas",25,2022,1.720930233,18759.5,76,19.1125
"polk",64,2022,2.086288449,17126.487804878,77,20.6875
"pottawattamie",69,2022,2.074581006,19748.962962963,78,20.55
"poweshiek",65,2022,2.99754902,17942,79,19.9909090909091
"ringgold",93,2022,2.170278638,15415,80,22.11
"sac",38,2022,2.254132231,17333.1666666667,81,20.62
"scott",67,2022,2.604605393,14726.5,82,20.19
"shelby",58,2022,2.452804378,33332,83,21.55
"sioux",12,2022,2.434259259,16963.4,84,20.188
"story",53,2022,3.873651236,16832.4193548387,85,21.0642857142857
"tama",47,2022,1.852180937,15640.6666666667,86,21.62
"taylor",92,2022,2.142857143,16883.5,87,20.64
"union",84,2022,1.860851506,29000.5,88,20.57
"van_buren",94,2022,1.739224138,32190,89,NA
"wapello",85,2022,2.195749057,18801.6666666667,90,22.2266666666667
"warren",74,2022,3.795522388,18629.5714285714,91,20.84375
"washington",71,2022,2.76097561,15445.6666666667,92,20.5666666666667
"wayne",97,2022,1.835489834,17506,93,21.9133333333333
"webster",33,2022,1.764356436,19962.8181818182,94,21.95
"winnebago",9,2022,2.611111111,12655.1818181818,95,19.94
"winneshiek",7,2022,3.530973451,17414.6363636364,96,20.23
"woodbury",36,2022,1.663959391,17098.5,97,20.7846153846154
"worth",11,2022,2.558943089,17095.3333333333,98,22.32
"wright",27,2022,1.666451196,16369.3636363636,99,21.0444444444444
